                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.85124,                 0.7808,                0.84255,                 1.0901,                0.87435,                0.84722,                0.75436,                0.69073,                0.82824,                0.64975,                0.71529,                 1.0227,                0.82086,                 0.8716,                 1.0379,                0.82982,               0.009241,               0.009241,               0.009241
                     26,                 0.8651,                0.77758,                0.84097,                 1.0931,                0.87037,                0.84915,                0.68497,                0.69667,                0.75618,                0.60956,                0.68431,                 1.0626,                0.81075,                0.80507,                 1.1215,                0.82174,               0.009208,               0.009208,               0.009208
                     27,                0.83203,                0.72307,                0.83805,                 1.0832,                0.81282,                0.84577,                0.67051,                 0.7199,                0.80813,                0.63554,                0.73414,                 1.2466,                0.81655,                0.85405,                 1.3112,                0.82514,               0.009175,               0.009175,               0.009175
                     28,                0.84988,                 0.7619,                0.84408,                 1.0844,                0.84181,                 0.8481,                0.72648,                 0.7465,                0.78353,                0.62195,                0.69028,                0.98268,                0.81205,                0.81488,                 1.0375,                0.82558,               0.009142,               0.009142,               0.009142
                     29,                0.82087,                 0.7141,                0.83807,                 1.0544,                0.81886,                0.84104,                0.72168,                0.77686,                0.85409,                 0.6862,                0.72275,                0.97651,                0.81595,                 0.8146,                0.91907,                0.81936,               0.009109,               0.009109,               0.009109
                     30,                0.82776,                0.73128,                0.84439,                 1.0511,                0.83177,                0.85007,                0.77799,                0.78667,                0.90221,                0.70676,                0.72686,                0.77924,                0.81452,                0.83698,                0.91763,                0.82908,               0.009076,               0.009076,               0.009076
                     31,                0.83728,                0.73272,                0.84127,                 1.0519,                0.81475,                0.84672,                0.80909,                0.79429,                0.88304,                 0.6787,                0.77755,                0.76568,                0.82468,                0.89881,                0.83081,                0.83147,               0.009043,               0.009043,               0.009043
                     32,                0.82187,                 0.7015,                0.84119,                 1.0433,                0.81285,                0.84432,                0.84878,                0.81743,                0.91854,                0.74335,                0.66706,                0.58134,                 0.8044,                0.78265,                0.64268,                 0.8102,                0.00901,                0.00901,                0.00901
                     33,                0.80097,                0.69283,                0.83781,                 1.0237,                0.78525,                0.84062,                0.85152,                0.81527,                0.91424,                0.75499,                0.66155,                0.63112,                0.80518,                0.75679,                0.69816,                0.81722,               0.008977,               0.008977,               0.008977
                     34,                0.79523,                0.69704,                0.83728,                 1.0358,                  0.782,                0.84269,                0.76041,                0.81964,                0.88182,                0.70635,                0.73332,                0.84175,                0.80995,                0.83005,                0.82476,                 0.8146,               0.008944,               0.008944,               0.008944
                     35,                0.80433,                0.67973,                0.84141,                 1.0303,                0.77664,                0.84344,                0.83109,                0.81633,                0.88119,                 0.6978,                0.70291,                0.65912,                0.81173,                0.83858,                0.76062,                0.82423,               0.008911,               0.008911,               0.008911
                     36,                0.79932,                0.66778,                0.83929,                 1.0089,                0.74077,                0.84359,                0.83321,                0.84261,                0.91691,                0.74607,                0.65922,                 0.6484,                0.80268,                0.75183,                0.64443,                0.81419,               0.008878,               0.008878,               0.008878
                     37,                0.81043,                0.68942,                0.83916,                 1.0205,                0.75825,                0.84375,                0.78665,                0.83697,                0.88116,                0.70755,                0.67518,                0.71748,                 0.8066,                0.80094,                0.69108,                0.82588,               0.008845,               0.008845,               0.008845
